Frame Index,Latency (ms),7-Frame Trend (ms),High-Frequency Jitter (ms),System Jitter (ms),Cumulative Drift (ms),Temperature Change (C),Centered Trend Component (ms),GPU Temperature (C),GPU SM Clock (MHz),GPU Utilization (%),GPU Power (W),DVFS Event,DVFS Effect (ms),Spike Event,Spike Effect (ms),Burst Effect (ms)
0,9.500360761369977,9.38395426224689,0.11640649912308731,0.11543510325796065,0.0,0.0,0.07923954510480336,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
1,9.538934980119977,9.422637628049264,0.11629735207071334,0.11532595620558668,0.03868336580237397,0.0,0.11792291090717733,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
2,9.305553981236049,9.4196388088927,-0.11408482765665084,-0.11505622352177751,0.0743679124481833,0.0,0.11492409175061269,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
3,9.249170575823102,9.385349195830676,-0.13617862000757341,-0.13715001587270007,0.07576284603196903,0.0,0.08063447868858908,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
4,9.519954136439733,9.3892859634088,0.1306681730309318,0.12969677716580516,0.08109454719387976,0.0,0.08457124626671408,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
5,9.284562247140068,9.35470892458546,-0.0701466774453916,-0.07111807331051827,0.05184920953244898,0.0,0.049994207443372574,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
6,9.298907688685826,9.346732470454002,-0.04782478176817584,-0.0487961776333025,0.01462741773956111,0.0,0.042017753311915484,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
7,9.527918134416852,9.392535462671397,0.1353826717454556,0.13441127588032895,0.02320861816406783,0.0,0.08782074552931007,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
8,9.296895708356585,9.401492838956871,-0.10459713060028619,-0.10556852646541286,0.040747194874048986,0.0,0.09677812181478451,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
9,9.249718802315849,9.447152273995536,-0.1974334716796875,-0.19840486754481415,0.10394520662269535,0.0,0.14243755685344972,31.0,2940.0,18.0,124.49,0,0.0,0,0.0,0.0
10,9.569791521344866,9.454407672492824,0.11538384885204245,0.11441245298691578,0.17439861686862912,0.0,0.14969295535073712,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
11,9.582655770438057,9.448200926488758,0.13445484394929963,0.13348344808417298,0.23864528111049665,0.0,0.1434862093466709,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
12,9.604178292410714,9.467539417500397,0.13663887491031623,0.13566747904518958,0.32223043636400384,0.0,0.16282470035831054,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
13,9.349695478166852,9.470957541952327,-0.12126206378547444,-0.1222334596506011,0.4092337160694406,0.0,0.1662428248102401,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
14,9.484470912388392,9.434669650330834,0.049801262057558304,0.04882986619243165,0.4599491041533845,0.0,0.1299549331887473,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
15,9.432265145438057,9.41092572893415,0.021339416503908026,0.020368020638781365,0.48692057084064366,0.0,0.10621101179206249,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
16,9.273645673479352,9.376967916683274,-0.10332224320392136,-0.10429363906904802,0.47993422527702734,0.0,0.07225319954118703,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
17,9.31577627999442,9.402327712701291,-0.08655143270687127,-0.08752282857199793,0.49830767573142865,0.0,0.09761299555920466,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
